i;Ii;Ji;ni
1;0;0;0.14895041079516E4
2;0;1;0.74307798314034E3
3;0;2;-0.97708318797837E2
4;0;12;0.24742464705674E1
5;0;18;-0.63281320016026
6;0;24;0.11385952129658E1
7;0;28;-0.47811863648625
8;0;40;0.85208123431544E-2
9;1;0;0.93747147377932
10;1;2;0.33593118604916E1
11;1;6;0.33809355601454E1
12;1;12;0.16844539671904
13;1;18;0.73875745236695
14;1;24;-0.47128737436186
15;1;28;0.15020273139707
16;1;40;-0.21764114219750E-2
17;2;2;-0.21810755324761E-1
18;2;8;-0.10829784403677
19;2;18;-0.46333324635812E-1
20;2;40;0.71280351959551E-4
21;3;1;0.11032831789999E-3
22;3;2;0.18955248387902E-3
23;3;12;0.30891541160537E-2
24;3;24;0.13555504554949E-2
25;4;2;0.28640237477456E-6
26;4;12;-0.10779857357512E-4
27;4;18;-0.76462712454814E-4
28;4;24;0.14052392818316E-4
29;4;28;-0.31083814331434E-4
30;4;40;-0.10302738212103E-5
31;5;18;0.28217281635040E-6
32;5;24;0.12704902271945E-5
33;5;40;0.73803353468292E-7
34;6;28;-0.11030139238909E-7
35;7;2;-0.81456365207833E-13
36;7;28;-0.25180545682962E-10
37;9;1;-0.17565233969407E-17
38;9;40;0.86934156344163E-14